country_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MX,2020-03-11,-1.0,2.0,2.0,2.0,8.0,-1.0
MX,2020-03-12,1.0,4.0,3.0,3.0,8.0,-2.0
MX,2020-03-13,2.0,6.0,3.0,5.0,5.0,-1.0
MX,2020-03-14,2.0,10.0,6.0,4.0,3.0,-1.0
MX,2020-03-15,0.0,7.0,6.0,-4.0,1.0,-1.0
MX,2020-03-16,-11.0,5.0,-7.0,-30.0,-54.0,13.0
MX,2020-03-17,-7.0,5.0,-8.0,-9.0,-3.0,2.0
MX,2020-03-18,-13.0,3.0,-14.0,-17.0,-10.0,6.0
MX,2020-03-19,-17.0,1.0,-16.0,-22.0,-14.0,7.0
MX,2020-03-20,-23.0,-3.0,-22.0,-26.0,-14.0,9.0
MX,2020-03-21,-31.0,-7.0,-32.0,-29.0,-7.0,9.0
MX,2020-03-22,-37.0,-13.0,-37.0,-33.0,-10.0,8.0
MX,2020-03-23,-31.0,-14.0,-30.0,-37.0,-29.0,12.0
MX,2020-03-24,-35.0,-16.0,-33.0,-41.0,-34.0,14.0
MX,2020-03-25,-37.0,-16.0,-36.0,-44.0,-36.0,16.0
MX,2020-03-26,-37.0,-17.0,-36.0,-46.0,-37.0,16.0
MX,2020-03-27,-39.0,-17.0,-37.0,-47.0,-34.0,17.0
MX,2020-03-28,-40.0,-14.0,-39.0,-43.0,-18.0,12.0
MX,2020-03-29,-45.0,-19.0,-46.0,-47.0,-20.0,11.0
MX,2020-03-30,-35.0,-15.0,-36.0,-47.0,-38.0,15.0
MX,2020-03-31,-35.0,-15.0,-37.0,-48.0,-41.0,16.0
MX,2020-04-01,-37.0,-13.0,-39.0,-50.0,-44.0,18.0
MX,2020-04-02,-47.0,-12.0,-41.0,-52.0,-46.0,19.0
MX,2020-04-03,-56.0,-11.0,-43.0,-52.0,-43.0,21.0
MX,2020-04-04,-57.0,-11.0,-46.0,-48.0,-27.0,16.0
MX,2020-04-05,-62.0,-19.0,-52.0,-51.0,-27.0,13.0
MX,2020-04-06,-54.0,-15.0,-41.0,-54.0,-49.0,19.0
MX,2020-04-07,-53.0,-18.0,-42.0,-56.0,-52.0,20.0
MX,2020-04-08,-52.0,-13.0,-42.0,-55.0,-53.0,20.0
MX,2020-04-09,-58.0,-16.0,-46.0,-62.0,-64.0,23.0
MX,2020-04-10,-71.0,-30.0,-57.0,-72.0,-72.0,30.0
MX,2020-04-11,-66.0,-26.0,-54.0,-63.0,-49.0,20.0
MX,2020-04-12,-65.0,-29.0,-58.0,-57.0,-31.0,13.0
MX,2020-04-13,-54.0,-20.0,-45.0,-56.0,-49.0,20.0
MX,2020-04-14,-54.0,-19.0,-44.0,-57.0,-50.0,21.0
MX,2020-04-15,-51.0,-13.0,-44.0,-56.0,-50.0,21.0
MX,2020-04-16,-51.0,-15.0,-45.0,-57.0,-51.0,22.0
MX,2020-04-17,-55.0,-18.0,-47.0,-58.0,-47.0,24.0
MX,2020-04-18,-59.0,-23.0,-51.0,-55.0,-29.0,17.0
MX,2020-04-19,-62.0,-28.0,-56.0,-56.0,-26.0,13.0
MX,2020-04-20,-55.0,-25.0,-47.0,-57.0,-47.0,20.0
MX,2020-04-21,-58.0,-28.0,-50.0,-60.0,-50.0,21.0
MX,2020-04-22,-58.0,-27.0,-51.0,-60.0,-50.0,22.0
MX,2020-04-23,-59.0,-28.0,-52.0,-61.0,-51.0,23.0
MX,2020-04-24,-61.0,-28.0,-53.0,-62.0,-47.0,24.0
MX,2020-04-25,-62.0,-27.0,-55.0,-58.0,-31.0,18.0
MX,2020-04-26,-65.0,-31.0,-60.0,-59.0,-28.0,14.0
MX,2020-04-27,-58.0,-28.0,-51.0,-60.0,-48.0,22.0
MX,2020-04-28,-58.0,-28.0,-50.0,-61.0,-50.0,17.0
MX,2020-04-29,-55.0,-21.0,-49.0,-60.0,-50.0,22.0
MX,2020-04-30,-47.0,-10.0,-45.0,-57.0,-49.0,20.0
MX,2020-05-01,-61.0,-22.0,-54.0,-67.0,-63.0,28.0
MX,2020-05-02,-59.0,-21.0,-52.0,-57.0,-33.0,18.0
MX,2020-05-03,-63.0,-28.0,-58.0,-58.0,-25.0,13.0
MX,2020-05-04,-54.0,-22.0,-47.0,-59.0,-47.0,21.0
MX,2020-05-05,-56.0,-25.0,-50.0,-61.0,-51.0,22.0
MX,2020-05-06,-56.0,-23.0,-49.0,-61.0,-49.0,22.0
MX,2020-05-07,-56.0,-22.0,-50.0,-62.0,-50.0,23.0
MX,2020-05-08,-57.0,-22.0,-51.0,-61.0,-46.0,24.0
MX,2020-05-09,-56.0,-17.0,-51.0,-56.0,-28.0,17.0
MX,2020-05-10,-59.0,-24.0,-56.0,-57.0,-14.0,11.0
MX,2020-05-11,-57.0,-26.0,-50.0,-60.0,-47.0,21.0
MX,2020-05-12,-55.0,-25.0,-48.0,-60.0,-48.0,21.0
MX,2020-05-13,-55.0,-23.0,-48.0,-61.0,-48.0,22.0
MX,2020-05-14,-53.0,-20.0,-48.0,-60.0,-48.0,22.0
MX,2020-05-15,-53.0,-16.0,-46.0,-58.0,-44.0,23.0
MX,2020-05-16,-55.0,-16.0,-49.0,-53.0,-26.0,16.0
MX,2020-05-17,-60.0,-24.0,-55.0,-56.0,-20.0,13.0
MX,2020-05-18,-52.0,-19.0,-46.0,-57.0,-44.0,20.0
MX,2020-05-19,-53.0,-21.0,-45.0,-58.0,-46.0,21.0
MX,2020-05-20,-53.0,-19.0,-45.0,-58.0,-46.0,21.0
MX,2020-05-21,-54.0,-20.0,-46.0,-58.0,-47.0,22.0
MX,2020-05-22,-56.0,-20.0,-47.0,-58.0,-42.0,22.0
MX,2020-05-23,-56.0,-18.0,-49.0,-53.0,-22.0,16.0
MX,2020-05-24,-60.0,-24.0,-53.0,-55.0,-18.0,13.0
MX,2020-05-25,-53.0,-19.0,-44.0,-56.0,-43.0,20.0
MX,2020-05-26,-54.0,-22.0,-45.0,-58.0,-44.0,20.0
MX,2020-05-27,-54.0,-22.0,-46.0,-59.0,-44.0,21.0
MX,2020-05-28,-53.0,-19.0,-46.0,-58.0,-44.0,21.0
MX,2020-05-29,-52.0,-14.0,-45.0,-56.0,-40.0,22.0
MX,2020-05-30,-53.0,-12.0,-46.0,-50.0,-17.0,14.0
MX,2020-05-31,-57.0,-19.0,-52.0,-52.0,-11.0,12.0
MX,2020-06-01,-48.0,-13.0,-43.0,-52.0,-38.0,18.0
MX,2020-06-02,-50.0,-17.0,-43.0,-54.0,-41.0,19.0
MX,2020-06-03,-50.0,-17.0,-43.0,-54.0,-41.0,19.0
MX,2020-06-04,-50.0,-17.0,-44.0,-55.0,-41.0,20.0
MX,2020-06-05,-52.0,-16.0,-45.0,-55.0,-37.0,21.0
MX,2020-06-06,-52.0,-14.0,-46.0,-49.0,-16.0,14.0
MX,2020-06-07,-56.0,-21.0,-50.0,-51.0,-10.0,11.0
MX,2020-06-08,-50.0,-18.0,-43.0,-53.0,-37.0,18.0
MX,2020-06-09,-50.0,-20.0,-44.0,-55.0,-39.0,18.0
MX,2020-06-10,-48.0,-16.0,-42.0,-54.0,-39.0,18.0
MX,2020-06-11,-48.0,-16.0,-43.0,-54.0,-40.0,19.0
MX,2020-06-12,-48.0,-13.0,-42.0,-53.0,-35.0,19.0
MX,2020-06-13,-48.0,-10.0,-41.0,-47.0,-12.0,13.0
MX,2020-06-14,-52.0,-17.0,-46.0,-49.0,-6.0,11.0
MX,2020-06-15,-43.0,-9.0,-36.0,-49.0,-35.0,16.0
MX,2020-06-16,-42.0,-11.0,-36.0,-50.0,-37.0,17.0
MX,2020-06-17,-43.0,-11.0,-37.0,-51.0,-38.0,18.0
MX,2020-06-18,-44.0,-13.0,-38.0,-51.0,-39.0,18.0
MX,2020-06-19,-46.0,-11.0,-38.0,-50.0,-34.0,17.0
MX,2020-06-20,-45.0,-7.0,-39.0,-44.0,-11.0,12.0
MX,2020-06-21,-50.0,-14.0,-46.0,-47.0,4.0,8.0
MX,2020-06-22,-46.0,-17.0,-40.0,-51.0,-38.0,17.0
MX,2020-06-23,-46.0,-18.0,-39.0,-52.0,-39.0,17.0
MX,2020-06-24,-45.0,-15.0,-40.0,-51.0,-38.0,18.0
MX,2020-06-25,-45.0,-15.0,-40.0,-52.0,-39.0,18.0
MX,2020-06-26,-47.0,-13.0,-40.0,-51.0,-34.0,19.0
MX,2020-06-27,-47.0,-11.0,-39.0,-44.0,-12.0,12.0
MX,2020-06-28,-50.0,-17.0,-43.0,-46.0,-4.0,10.0
MX,2020-06-29,-42.0,-12.0,-37.0,-48.0,-35.0,16.0
MX,2020-06-30,-37.0,-7.0,-35.0,-48.0,-37.0,15.0
MX,2020-07-01,-38.0,-6.0,-36.0,-47.0,-37.0,16.0
MX,2020-07-02,-39.0,-7.0,-36.0,-47.0,-38.0,16.0
MX,2020-07-03,-42.0,-8.0,-37.0,-47.0,-34.0,17.0
MX,2020-07-04,-45.0,-10.0,-39.0,-43.0,-12.0,12.0
MX,2020-07-05,-49.0,-17.0,-44.0,-44.0,-6.0,9.0
MX,2020-07-06,-40.0,-11.0,-36.0,-46.0,-36.0,15.0
MX,2020-07-07,-40.0,-13.0,-36.0,-48.0,-38.0,16.0
MX,2020-07-08,-41.0,-13.0,-38.0,-48.0,-38.0,16.0
MX,2020-07-09,-41.0,-14.0,-38.0,-48.0,-38.0,17.0
MX,2020-07-10,-42.0,-11.0,-37.0,-47.0,-34.0,17.0
MX,2020-07-11,-44.0,-11.0,-39.0,-41.0,-11.0,12.0
MX,2020-07-12,-48.0,-18.0,-43.0,-43.0,-6.0,9.0
MX,2020-07-13,-40.0,-12.0,-35.0,-46.0,-36.0,15.0
MX,2020-07-14,-37.0,-12.0,-35.0,-47.0,-38.0,15.0
MX,2020-07-15,-34.0,-5.0,-34.0,-45.0,-37.0,15.0
MX,2020-07-16,-34.0,-6.0,-34.0,-45.0,-37.0,15.0
MX,2020-07-17,-39.0,-8.0,-36.0,-45.0,-33.0,16.0
MX,2020-07-18,-41.0,-9.0,-38.0,-39.0,-11.0,11.0
MX,2020-07-19,-44.0,-15.0,-41.0,-41.0,-5.0,9.0
MX,2020-07-20,-37.0,-11.0,-36.0,-45.0,-36.0,15.0
MX,2020-07-21,-37.0,-13.0,-35.0,-46.0,-38.0,15.0
MX,2020-07-22,-38.0,-12.0,-36.0,-46.0,-37.0,16.0
MX,2020-07-23,-38.0,-12.0,-36.0,-46.0,-37.0,16.0
MX,2020-07-24,-41.0,-12.0,-37.0,-46.0,-33.0,17.0
MX,2020-07-25,-42.0,-11.0,-37.0,-40.0,-12.0,11.0
MX,2020-07-26,-47.0,-20.0,-43.0,-43.0,-8.0,10.0
MX,2020-07-27,-41.0,-15.0,-38.0,-47.0,-39.0,16.0
MX,2020-07-28,-38.0,-15.0,-37.0,-46.0,-38.0,16.0
MX,2020-07-29,-36.0,-12.0,-37.0,-46.0,-38.0,16.0
MX,2020-07-30,-32.0,-9.0,-35.0,-45.0,-38.0,15.0
MX,2020-07-31,-34.0,-7.0,-36.0,-43.0,-33.0,16.0
MX,2020-08-01,-35.0,-5.0,-35.0,-36.0,-11.0,10.0
MX,2020-08-02,-39.0,-12.0,-39.0,-38.0,-5.0,8.0
MX,2020-08-03,-32.0,-8.0,-34.0,-42.0,-35.0,14.0
MX,2020-08-04,-32.0,-10.0,-33.0,-43.0,-37.0,14.0
MX,2020-08-05,-31.0,-8.0,-32.0,-43.0,-36.0,15.0
MX,2020-08-06,-32.0,-10.0,-33.0,-44.0,-37.0,15.0
MX,2020-08-07,-34.0,-10.0,-34.0,-43.0,-33.0,15.0
MX,2020-08-08,-36.0,-10.0,-35.0,-38.0,-11.0,10.0
MX,2020-08-09,-39.0,-15.0,-39.0,-39.0,-6.0,8.0
MX,2020-08-10,-32.0,-12.0,-34.0,-42.0,-34.0,14.0
